"","date","titles","Views_final"
"1447",2018-05-13,"REDUCED:  GALOC 16.3 mm EL-16 1.25"" Eyepiece Very Nice Condition",159
"1448",2018-05-13,"Circle NJ Plossl set",209
"1449",2018-05-12,"Empty 11 Televue Boxes plus one unmarked",326
"1450",2018-05-12,"University Optics eyepieces",145
"1451",2018-05-12,"Celestron Zoom Eyepiece 8-24 mm",143
"1452",2018-05-12,"$100 Wanted Japan Meade Zoom Eyepiece.",111
"1453",2018-05-12,"1.25"" University 20mm Super Erfle circle ""T"" JAPAN",159
"1454",2018-05-12,"TeleVue 24mm Panoptic",140
"1455",2018-05-12,"Televue 20mm plossl",150
"1456",2018-05-12,"Orion Expanse Wide Field 15mm",108
"1457",2018-05-12,"Celestron x-cel LX 9mm",76
"1458",2018-05-12,"Celestron 32mm E-Lux",167
"1459",2018-05-12,"Pair of Rare .965"" Volcano Top Eyepieces",150
"1460",2018-05-12,"51MM 2-INCH EYEPIECE",275
"1461",2018-05-11,"Celestron Ultima Duo 21mm",113
"1462",2018-05-11,"Meade 1.25"" Vintage UWA 6.7mm Smooth Top Eyepiece Japan",163
"1463",2018-05-11,"Tele Vue Radian 8.0mm Eyepiece",122
"1464",2018-05-11,"Explore Scientific 8.8mm, 82 degree FOV",235
"1465",2018-05-11,"32mm Orthoscopic Ocular in Excellent Condition",59
"1466",2018-05-11,"Takahashi 1.25"" prism diagonal excellent shape $100 OBO",127
"1467",2018-05-11,"Unitron Eyepieces - .965"" - 6, 7, 9, 12.5",191
"1468",2018-05-11,"Volcano Top 7mm and 25mm Orthoscopic Eyepieces",224
"1469",2018-05-10,"TeleVue 12mm Nagler Type 4 eyepiece",164
"1470",2018-05-10,"Pelican 1550 Case",229
"1471",2018-05-10,"Nikon MC 9-21mm Zoom",82
"1472",2018-05-10,"Morpheus 12.5mm",100
"1473",2018-05-10,"Explore Scientific 68 degree 28mm eyepiece",131
"1474",2018-05-10,"BOX for Celestron Ultima 60mm or 45mm eyepiece",166
"1475",2018-05-10,"Nikon Ortho 7mm O-7 (Reduced)",208
"1476",2018-05-10,"Tele Vue 11mm Plossl Japan",142
"1477",2018-05-10,"11mm Nagler T6",210
"1478",2018-05-10,"6mm Baader Classic Orthoscopic BCO-6 1.25""",120
"1479",2018-05-10,"Pentax XW 30",232
"1480",2018-05-10,"32mm Erfle 1.25"" Parks?",108
"1481",2018-05-10,"Criterion B and L A.S.P. 30 1.25"" eyepiece",130
"1482",2018-05-09,"27mm Panoptic",148
"1483",2018-05-09,"Orion Ultrascopic 35mm, 30mm & 5mm Set",213
"1484",2018-05-09,"Tele Vue 4.8mm Nagler Ex. Cond.",164
"1485",2018-05-09,"9mm Unitron .965"" SYM ACH # Reticle Eyepiece",104
"1486",2018-05-08,"Televue Nagler 31 mm",230
"1487",2018-05-08,"Wanted - Meade 6.7mm UWA Series 4000",123
"1488",2018-05-08,"Explore Scientific Eyepiece - 1.25"";   24mm",488
"1489",2018-05-07,"Celestron 7 mm Orthoscopic Eyepiece Pair",164
"1490",2018-05-07,"Celestron 25 mm Orthoscopic Eyepiece",229
"1491",2018-05-07,"Front 80mm binocular lens caps",64
"1492",2018-05-07,"Questar Brandon set",283
"1493",2018-05-07,"Weird Eyepiece Lot - for Collectors",633
"1494",2018-05-07,"Edmunds RKE 28mm",212
"1495",2018-05-07,"TMB Planetary II, 8mm",155
"1496",2018-05-07,"Explore Scientific 14mm 82°",164
"1497",2018-05-07,"Criterion 16.3mm Erfle and Vintage Edmund 1/4"" Eyepieces",245
"1498",2018-05-07,"10mm Masuyama Ocular in Near Mint Condition [REDUCED]",107
"1499",2018-05-07,"Televue Radian 6mm Eyepiece",214
"1500",2018-05-07,"FS: Pentax 10mm XW",257
"1501",2018-05-07,"1.25"" 42mm Achromatic Huygens Eyepiece",100
"1502",2018-05-07,"crosshair eyepiece",83
"1503",2018-05-07,"Wanted---Masuyama 7.5mm or 5mm",70
"1504",2018-05-06,"Vintage A. Jaegers 3/4"" Symmetrical Ocular",163
"1505",2018-05-06,"Orion, Meade, & Celestron Plossl Eyepieces",404
"1506",2018-05-06,"William Optics SWAN 33 mm, 72 degree Eyepieces",182
"1507",2018-05-06,"Explore Scientific 25mm 70 degree 2"" Eyepiece",137
"1508",2018-05-06,"TeleVue Ethos Eyepiece Carry Case - Like New!",111
"1509",2018-05-06,"TeleVue 19mm Panoptics",265
"1510",2018-05-06,"Meade Series 5000 Ultra Wide Angle 6.7mm Eyepiece (1.25"")",122
"1511",2018-05-06,"AstroSystems compression ring eyepiece adapter 2"" to 1.25""",71
"1512",2018-05-06,"Meade Series 5000 Super Wide Angle 16mm Eyepiece (1.25"")",139
"1513",2018-05-06,"Parks 25mm Tall Kellner 1.25"" made in Japan",142
"1514",2018-05-06,"Zhumell Eyepiece and Filter set",198
"1515",2018-05-06,"Televue Nagler 7mm Type 1",167
"1516",2018-05-06,"Celestron Luminos 7mm 82 Degree Eyepiece",208
"1517",2018-05-06,"REDUCED Tele Vue 8mm plossl",114
"1518",2018-05-06,"Orion Expanse 15mm 66 Degree Eyepiece",113
"1519",2018-05-06,"Celestron Axiom LX 82° 7MM 1.25"" barrel eyepiece",121
"1520",2018-05-06,"University Optics Pro series 4mm flat top .",153
"1521",2018-05-06,"Astro-Physics 2.7” focuser",85
"1522",2018-05-06,"Novak 2"" Helical Focuser",186
"1523",2018-05-05,"Televue Nagler Zoom 3 to 6 mm[Free Shipping]",139
"1524",2018-05-05,"[Free Shipping]Televue Nagler type 6 [ 9mm & 11 mm]",273
"1525",2018-05-05,"Meade 12mm illuminated reticle eyepieces (have 2) Japan 07065",185
"1526",2018-05-05,"Siebert Optics .965, 12.5mm eyepiece",121
"1527",2018-05-05,"Pair of ES 20mm 68 degree eyepieces",124
"1528",2018-05-05,"(Price reduced) Explore Scientific 82° 14mm eyepiece",263
"1529",2018-05-05,"Masuyama 32mm 85 degree",144
"1530",2018-05-05,"Explore Scientific 24mm 68 Degree Eeyepiece !!!!!",103
"1531",2018-05-05,"Nikon .965 6-piece Orthoscopic/Kellner Set",167
"1532",2018-05-05,"*LIKE NEW* DayStar Quark Chromosphere H-Alpha Solar Filter + EXTRAS",155
"1533",2018-05-04,"Explore Scientific 62 deg series eyepieces BRAND NEW, NEVER USED!",398
"1534",2018-05-04,"Astro Hutech 18mm Ortho",132
"1535",2018-05-04,"Agena StarGuider 5mm",128
"1536",2018-05-04,"Explore Scientific ES 24 mm 82 degrees argon 2"" Eyepiece *Final Reduction**",235
"1537",2018-05-04,"2 Unused Televue Eyepieces[Delos + Ethos]",416
"1538",2018-05-04,"Tele Vue 11mm T1 Nagler (Circle NJ)",143
"1539",2018-05-04,"Baader 2"" ClickLock Eyepiece Clamp with M42 Female Thread (T-2)",139
"1540",2018-05-04,"Custom Made Eyepiece Tray",136
"1541",2018-05-04,"Zeiss 10mm ortho telescope eyepiece (.965) w/ adapter",91
"1542",2018-05-04,"Explore Scientific 83 degrees 18 mm argon 2"" Eyepiece",101
"1543",2018-05-04,"Tele Vue 2.5x Powermate",79
"1544",2018-05-04,"TV 19mm Panoptic",169
"1545",2018-05-04,"Takahashi 1.25"" eyepieces, c/w end caps and boxes, both in mint condition.",203
"1546",2018-05-04,"Televue 40mm Plossl",140
"1547",2018-05-04,"TV Smoothie NJ Plossl Set: Reduced",245
"1548",2018-05-04,"TeleVue 12mm Type 2 Nagler 1.25"" 2"" Made in Japan",111
"1549",2018-05-03,"Televue Ethos 17mm",179
"1550",2018-05-03,"Meade 5.5mm 82-degree UWA Series 5000",150
"1551",2018-05-03,"Celestron 12.5mm Astrometry Eyepiece",68
"1552",2018-05-03,"TeleVue Ethos 3.7mm 110* FOV",174
"1553",2018-05-03,"Explore Scientific 24mm-82 degree eyepiece",157
"1554",2018-05-03,"Dioptrx +1.25",51
"1555",2018-05-03,"Explore Scientific 24mm 68 degree eyepiece NIB shipped",162
"1556",2018-05-02,"17mm Ethos",152
"1557",2018-05-02,"Celestron Luminos 15mm",89
"1558",2018-05-02,"Celestron 1.25"" X-Cel LX Eyepiece - 7mm",118
"1559",2018-05-02,"Price Drop - Celestron Axiom LX 23mm eyepiece 82-deg apparent fov",168
"1560",2018-05-02,"Wanted - RINI eyepieces",93
"1561",2018-05-01,"Televue Nagler 31mm Type 5",340
"1562",2018-05-01,"Offering 200 to 250 USD/Euro for your Radian eyepiece",108
"1563",2018-05-01,"Celestron .965"" Towa and Vixen eyepieces 1970s",240
"1564",2018-05-01,"looking for 12mm Flat Field  EP",93
"1565",2018-05-01,"Like New GENUINE TMB 5mm Planetary II EP w/box FREE SHIP!",213
"1566",2018-05-01,"Vintage 2 Inch University Optics 32mm Erfle",237
"1567",2018-05-01,"Wanted: 14mm TV Radian",59
"1568",2018-05-01,"Clave Eyepieces For Sale",397
"1569",2018-04-30,"Televue Panoptic 41mm",58
"1570",2018-04-30,"TeleVue Eyepiece BLOWOUT 31mm,20mm,Ethos, more",960
"1571",2018-04-30,"Two EPs for sale",394
"1572",2018-04-30,"Televue (mostly) 1.25” mixed eyepiece set",575
"1573",2018-04-30,"A Pair of Televue Zooms [ 2 to 4 & 3 to 6 ] Free Shipping",397
"1574",2018-04-30,"Meade 4000 Series Japan 13.8 Super Wide Angle",216
"1575",2018-04-30,"wanted 4mm Japanese made ortho eyepiece",96
"1576",2018-04-30,"Parks Volcano Top 6mm Plossl",155
"1577",2018-04-30,"ES 24 and 20 68°",252
"1578",2018-04-30,"Clave 6mm $260 Shipped",98
"1579",2018-04-29,"University Optics Konigs, VT abbe orthos, Super Erfles",143
"1580",2018-04-29,"Televue 2” 41 mm Panoptic Eyepiece",219
"1581",2018-04-29,"Televue 2” 20 mm Nagler type 5 Eyepiece",180
"1582",2018-04-29,"William Optics 20mm 100 degrees, like new",185
"1583",2018-04-29,"Celestron 5mm XCel 1.25 inches",114
"1584",2018-04-29,"Televue 6mm Ethos Eyepiece",103
"1585",2018-04-29,"University Optics 20mm Super Erfle 1.25 inches",211
"1586",2018-04-29,"Orion Expanse 4-eyepiece set 1.25mm (REDUCED)",231
"1587",2018-04-29,"Need tuneable parracor",57
"1588",2018-04-29,"Tele Vue Nagler 3.5mm T6",180
"1589",2018-04-29,"Televue 11mm Plossl",79
"1590",2018-04-29,"Nice Smooth Top TeleVue 32mm Wide Field 2""",126
"1591",2018-04-29,"Skyfi Wireless Telescope Controller",207
"1592",2018-04-29,"A Couple of Nice 2 inch Eyepieces- Very Clean, FREE SHIPPING",507
"1593",2018-04-29,"SWA 32mm 70* FOV EYEPIECE",204
"1594",2018-04-29,"Celestron 25-mm, 1.25"" Plossl *Price Reduced*",110
"1595",2018-04-29,"Edmund Scientific 15mm RKE",121
"1596",2018-04-29,"Tele Vue 8mm Delos",65
"1597",2018-04-28,"Celestron Ultima 60 mm Plossl",221
"1598",2018-04-28,"Meade 1.25"" Super Plossl 40mm Eyepiece",95
"1599",2018-04-28,"Televue 10mm Ethos",144
"1600",2018-04-28,"Wanted: Televue Radians 6 + 8 + 10 + 12 + 14 mm",95
"1601",2018-04-28,"Antares Elite 15mm Plossl - JAPAN",85
"1602",2018-04-28,"Parks 1.25"" Gold Series G.S-7 5mm EP In Box",126
"1603",2018-04-28,"Parks 1.25"" 30mm Plossl In Box",179
"1604",2018-04-28,"Explore Scientific 28mm 68° Series Eyepiece",115
"1605",2018-04-28,"wanted celestron 5mm",61
"1606",2018-04-28,"[Reduced] GSO 2"" 42mm SupeView Plossl",296
"1607",2018-04-28,"For Sale Paracorr",321
"1608",2018-04-28,"Meade 20mm Research Grade Erfle wide field",235
"1609",2018-04-28,"Takahashi Eyepiece - Set of 6",434
"1610",2018-04-27,"Edmund RKE Eyepieces for Sale",413
"1611",2018-04-27,"Tele Vue 4mm DeLite",143
"1612",2018-04-27,"Tele Vue 7mm DeLite",91
"1613",2018-04-27,"2"" Meade QX Wide Angle 26mm Eyepiece",125
"1614",2018-04-27,"Looking for a Pentax XW 40",59
"1615",2018-04-27,"looking for a 27mm panoptic",76
"1616",2018-04-27,"Off Axis Guider Body for SCT",200
"1617",2018-04-27,"2 inch Celestron Luminos 23mm 82 Deg AFOV Eyepiece",128
"1618",2018-04-27,"Tele Vue 5mm DeLite",110
"1619",2018-04-27,"Tele Vue 15mm DeLite",167
"1620",2018-04-27,"Tele Vue 12mm Nagler Type 2 In Box W/Caps",93
"1621",2018-04-27,"Masuyama Eps 10 15 20 25 30 35 45 **Pending Sale**",340
"1622",2018-04-27,"27mm Tele Vue Panoptic 2"" EP w/Box & Caps",135
"1623",2018-04-26,"ES 24mm 68-degree **Free Shipping***",206
"1624",2018-04-26,"Celestron Luminos 15mm FS",222
"1625",2018-04-26,"Baader 10mm Classic Ortho eyepiece",79
"1626",2018-04-26,"Explore Scientific ES 14mm 82 deg Eyepiece",96
"1627",2018-04-26,"Explore Scientific ES 20mm 100 deg Eyepiece",106
"1628",2018-04-26,"Pentax XW10 10mm EP w/Caps",138
"1629",2018-04-26,"Pentax XW40 Eyepiece w/Caps",243
"1630",2018-04-26,"Televue Reticle Eyepiece",92
"1631",2018-04-26,"University Optics ""volcano top"" multi-coated, abbe orthos",95
"1632",2018-04-26,"Meade 4.7mm UWA Series 4000 Japan",168
"1633",2018-04-26,"Pair of Zeiss PL 10x/23 1026-548 eyepieces",199
"1634",2018-04-26,"Criterion 16.3mm Erfle",117
"1635",2018-04-26,"Meade Series 5000 18mm UWA 82* Eyepiece",106
"1636",2018-04-25,"Wanted: 15mm Panoptic TeleVue",129
"1637",2018-04-25,"2""Olivon 22mm 70 degree eyepiece",207
"1638",2018-04-25,"2""Olivon 13mm 70 degree eyepiece",160
"1639",2018-04-25,"2"" Olivon 8mm 70 degree Eyepiece",154
"1640",2018-04-25,"Televue 6-3mm Nagler Zoom eyepiece.  Unused",169
"1641",2018-04-25,"ES 30mm, 82-Degree FOV Eyepiece, Free Shipping",189
"1642",2018-04-25,"ES 24mm 82°[Free Shipping]",155
"1643",2018-04-25,"1.25"" Celestron NexStar 17mm Plossl",95
"1644",2018-04-25,"Brand new Unused Pentax XW 5mm",148
"1645",2018-04-25,"Televue Panoptic 24 - User",274
"1646",2018-04-25,"TeleVue Panoptic 15mm",237
"1647",2018-04-25,"19mm Flat Field Eyepiece",122
"1648",2018-04-24,"Agena SWA 32mm/70°, BST 8mm/58°, Celestron 8-24mm zoom",265
"1649",2018-04-24,"Televue Nagler 22mm T4",123
"1650",2018-04-24,"Baader Mark III Click Stop Zoom 8mm-24mm  190.00",167
"1651",2018-04-24,"Edmund 1.25"" Vintage 28mm RKE Eyepiece w/Rubber Eyecup",155
"1652",2018-04-24,"Televue Plossl 7.4mm",94
"1653",2018-04-24,"Televue 17mm Nagler Type 4[Free Shipping]",181
"1654",2018-04-24,"Explore Scientific 2"" 9mm 100 Degree Waterproof Eyepiece",154
"1655",2018-04-24,"Celestron luminos",95
"1656",2018-04-23,"Explore Scientific 82* 18mm",126
"1657",2018-04-23,"Tele Vue 15mm Panoptic Eyepiece",156
"1658",2018-04-23,"Tele Vue 8mm Radian Eyepiece",125
"1659",2018-04-23,"Tele Vue 12mm Radian Eyepiece",154
"1660",2018-04-23,"Tele Vue 27mm Panoptic Eyepiece",163
"1661",2018-04-23,"Tele Vue 40mm Wide Field Eyepiece",194
"1662",2018-04-23,"13mm Nagler Type 1 - Priced to move",281
"1663",2018-04-23,"Agena 15mm SWA x2",96
"1664",2018-04-23,"9mm Orion Edge On Planetary Eyepiece - Reduced",114
"1665",2018-04-23,"Like New Tele Vue 20mm Plossl",99
"1666",2018-04-23,"Tele Vue 6mm Ethos",124
"1667",2018-04-23,"Orion Hilight plossl set of 3 (getting hard to find) Free ship",129
"1668",2018-04-23,"25mm & 15mm Antares Elite Plossls - JAPAN",153
"1669",2018-04-23,"5 mm ortho",79
"1670",2018-04-23,"Celestron Plossl 40mm",171
"1671",2018-04-23,"Celestron 7mm and 18mm ortho Japan",158
"1672",2018-04-22,"Meade UWA Eyepieces  20/14/8.8 mm",304
"1673",2018-04-22,"Carl Zeiss Jena 10mm Ortho w/ 1-1/4"" adapter",200
"1674",2018-04-22,"17.3mm TeleVue Delos eyepieces, two available @ $255 ea.",240
"1675",2018-04-22,"Explore Scientific 18mm-82 degree eyepiece",151
"1676",2018-04-22,"ES 82 degree 6.7mm",269
"1677",2018-04-22,"17.3mm & 10mm Delos for sale",172
"1678",2018-04-22,"Orion 7.5mm Ultrascopic - JAPAN",107
"1679",2018-04-22,"Televue 1.25”  14mm Radian Eyepiece",183
"1680",2018-04-22,"Tele Vue DeLite 11mm",133
"1681",2018-04-22,"Celestron 12.5 ortho crosshair EP",124
"1682",2018-04-22,"12.5mm Takahashi Tak Abbe Ortho Free Shipping",175
"1683",2018-04-22,"16mm Nagler T5 Free Shipping",146
"1684",2018-04-21,"Nagler Type 6 Eyepieces...",286
"1685",2018-04-21,"20mm Type 5 Nagler",124
"1686",2018-04-21,"Delos 6mm eyepiece",421
"1687",2018-04-21,"EPs for sale",568
"1688",2018-04-21,"Old Japanese Meade MA's... good outreach eyepieces",196
"1689",2018-04-21,"Explore Scientific 14mm 100 degree",165
"1690",2018-04-21,"Astromania? 3.2mm UWA-58 deg. Eyepiece 1.25""",101
"1691",2018-04-21,"6mm University Optics Ortho Volcano Top Circle-T Japan",167
"1692",2018-04-21,"Nice Carl Zeiss Jena 10mm + 25mm Ortho eyepieces",458
"1693",2018-04-21,"Reduced - Carl Zeiss Jena micrometer eyepiece K15x",165
"1694",2018-04-20,"Tele Vue 20mm Plossl",169
"1695",2018-04-20,"Meade 32mm JAPAN Smoothie",261
"1696",2018-04-20,"Meade 1.25"" Series 4000 Eyepiece & Filter Kit w/ Hard Case",223
"1697",2018-04-20,"Astromania  40mm 1.25 Super Ploessl",120
"1698",2018-04-20,"Pentax XP eyepiece set **Pending Sale**",400
"1699",2018-04-20,"Celestron Axiom LX 82° 23MM 2"" barrel eyepiece PRICE dropped",203
"1700",2018-04-20,"20mm APM XWA/HDC",149
"1701",2018-04-19,"Parks 25mm Kellner *** price lowered***",153
"1702",2018-04-19,"Pair of Waterproof Meade UWA 14's  **NEAF Pick up** $160",210
"1703",2018-04-19,"MEADE Series 5k UWA 24mm  (82° 2"" eyepiece) NEAF Pick up available",197
"1704",2018-04-19,"Unused Televue Delos 14mm",148
"1705",2018-04-19,"BNIB  Pentax XW 7mm",108
"1706",2018-04-19,"Nikon OR and K EPs",202
"1707",2018-04-19,"ES 82- 30mm ""Hand grenade""",283
"1708",2018-04-19,"ES 40mm 68 (will be at NEAF)",155
"1709",2018-04-19,"Baader MK 111 Zoom",250
"1710",2018-04-18,"Explore Scientific 82* 11mm eyepiece",188
"1711",2018-04-18,"Meade Series 4000 6.7mm Ultra Wide Angle UWA Pair",199
"1712",2018-04-18,"Explore Scientific 11mm 82 degree series eyepiece",191
"1713",2018-04-18,"Paradigm 12mm",159
"1714",2018-04-18,"Exceptional Meade Series 4000 6.7mm UWA - JAPAN",172
"1715",2018-04-18,"TeleVue 55mm Plossl",222
"1716",2018-04-18,"Pentax XW's",339
"1717",2018-04-17,"Orion Q70 38mm 2"" wide-field eyepiece",218
"1718",2018-04-17,"4mm Ortho - KK Fujiyama - Japan",111
"1719",2018-04-17,"Orion 7mm Ortho - Japan",180
"1720",2018-04-17,"Nagler T6 7mm, 9mm",122
"1721",2018-04-16,"Televue 7mm Nagler Type 6 Eyepiece",179
"1722",2018-04-16,"Wanted, Meade 5000 40mm SWA",85
"1723",2018-04-16,"Celestron X-cel LX 2.3 mm Eyepiece",118
"1724",2018-04-16,"Three Vintage Circle T Orthos in Superb Condition",348
"1725",2018-04-16,"Wanted: Baader Classic Ortho Q-Turret Set.",96
"1726",2018-04-16,"Baader 8-24 Mark III Zoom",138
"1727",2018-04-16,"Tele Vue 20mm & 11mm Plossls - JAPAN",194
"1728",2018-04-16,"Orion 25 MM (smooth style) plossl",123
"1729",2018-04-16,"Meade 5000 ultra wide angle 4.7mm Eyepiece",214
"1730",2018-04-16,"Flat Field eyepieces",287
"1731",2018-04-16,"WANTED: USED TELEUVE PARACORR W/TUNEABLE TOP",129
"1732",2018-04-16,"Televue 20mm Plossl",148
"1733",2018-04-16,"Meade 9mm illuminated reticle eyepiece.",80
"1734",2018-04-16,"Orion Barlow 2 inch Japan",77
"1735",2018-04-16,"Televue Radians. 12mm & 18 mm",63
"1736",2018-04-16,"$330 - William optics swan eyepiece set + barlows",156
"1737",2018-04-15,"Meade 6mm Circle T Ortho",158
"1738",2018-04-15,"Orion 32mm Q70 Wide Field Eyepiece",166
"1739",2018-04-15,"Celestron X-Cel Eyepieces 5mm,8mm,10mm,12.5mm,18mm,21mm,26mm",289
"1740",2018-04-15,"Meade 26mmQX, 28mm SWA, Baader Hyperion 24mm, TMB Planetary 6mm,7mm, Orion ER32m",438
"1741",2018-04-15,"26mm Bausch & Lomb Plossl Japan",131
"1742",2018-04-15,"Meade 5000, Celestron Axiom Eyepieces with caps, boxes",308
"1743",2018-04-15,"Zeiss 25mm W-Pl 10x23 eyepiece - matched pair",122
"1744",2018-04-15,"Explore Scientific 8.8mm 82 degree eyepiece",256
"1745",2018-04-15,"Meade UWA 6.7mm smoothie",155
"1746",2018-04-15,"P.M.O. 2x barlow",106
"1747",2018-04-15,"Nikon 10cm .965 Orthoscopic Set - 4/21 NEAF Pickup OK",137
"1748",2018-04-15,"Spring Cleaning!",590
"1749",2018-04-15,"Zeiss E-pl 10x/20 eyepieces",163
"1750",2018-04-15,"2 Celeston EPs, 2 inch 32mm (BNIB), 1.25 9mm Like New",248
"1751",2018-04-15,"Explore Scientific 82* 6.7mm LNIB",156
"1752",2018-04-15,"Clave 5mm, 6mm and Astro-Physics SPL 6mm",311
"1753",2018-04-14,"Meade 4000 56mm 2"" Plossl made in Japan",196
"1754",2018-04-14,"Celestron 2x Ultima SV Barlow, model 93506  Japan",165
"1755",2018-04-14,"TMB Optical 5mm, Orion Illuminated Reticle EPs",224
"1756",2018-04-14,"Very Nice 2 inch Meade 40mm 5 Element Plossl EP w/Box,Caps",215
"1757",2018-04-14,"Vintage Ortho-Star Eyepieces",488
"1758",2018-04-14,"Celestron 32mm E-Lux",129
"1759",2018-04-14,"Televue 24mm Wide Field, Meade 4mm Ortho",282
"1760",2018-04-14,"Clave set of 8 eyepieces",306
"1761",2018-04-14,"2 ""Celestron E-Lux Eyepieces",138
"1762",2018-04-14,"Tele Vue DeLite 7mm",130
"1763",2018-04-13,"Tele Vue 20mm Plossl",140
"1764",2018-04-13,"Tele Vue 8mm Delos",133
"1765",2018-04-13,"BNIB 7mm Delite",132
"1766",2018-04-13,"ES68 24mm",166
"1767",2018-04-13,"GSO 2"" 30mm SuperView Eyepiece",163
"1768",2018-04-13,"2"" UW80 15mm",147
"1769",2018-04-13,"Orion 15mm Ultrascopic 1.25""",186
"1770",2018-04-12,"Meade Series 4000 Super Plossl Set",212
"1771",2018-04-12,"Meade 9 mm Illuminated Reticle Plossl EP FREE SHIP",122
"1772",2018-04-12,"EO HD Ortho 4mm Japan - brand new!",134
"1773",2018-04-12,"20mm Nagler Type 5",161
"1774",2018-04-12,"SmartAstronomy 17mm Sterling Plossl",91
"1775",2018-04-12,"University Optics 1.25"" 24mm Zebra Konig",130
"1776",2018-04-12,"Celestron and Meade eyepieces 1982-1998",263
"1777",2018-04-12,"Set of Five Sears .965 Eyepieces made in Japan",136
"1778",2018-04-11,"Televue Panoptic 19mm Eyepiece -- NEW, NEVER USED",222
"1779",2018-04-11,"Televue Nagler 31mm Type 5 Eyepiece -- Factory Refurbished",130
"1780",2018-04-11,"TeleVue 13mm Ethos",114
"1781",2018-04-11,"Celestron 2in 19mm 82 degree Luminos Eyepiece",80
"1782",2018-04-11,"Brandon 6mm Excellent",118
"1783",2018-04-11,"Carl Zeiss Jena 10mm Ortho Excellent",128
"1784",2018-04-11,"Clave` 6mm excellent",151
"1785",2018-04-10,"Baader Hyperion 21mm",98
"1786",2018-04-10,"Tele Vue 20mm Plossl",103
"1787",2018-04-10,"Meade 40mm Super Plossl",90
"1788",2018-04-10,"Televue 6mm Delos",121
"1789",2018-04-10,"1.25"" Starguider 6mm 66 Degree Eyepiece",83
"1790",2018-04-10,"Antique McKenzie Cheapside London Brass Eyepiece",113
"1791",2018-04-09,"Celestron 40mm Plossl 1.25"" in the box",122
"1792",2018-04-09,"Agena SWA 2"" 38mm 70-degree",132
"1793",2018-04-09,"Antares 1.25"" 2x Barlow with twistlock Includes shipping",104
"1794",2018-04-09,"20mm Sterling / Astro Tech Plossl",82
"1795",2018-04-09,"Arcturus 30mm Plossls x2",90
"1796",2018-04-09,"Various eyepieces and diagonal",417
"1797",2018-04-09,"University Optics Konigs, Ortho eyepieces, box, cases, 3X barlow",541
"1798",2018-04-09,"Televue Delos 3.5mm Eyepiece",103
"1799",2018-04-09,"8MM ED Agena Astro eyepiece",65
"1800",2018-04-09,"Tele Vue 40mm Plossl Eyepiece",160
"1801",2018-04-08,"2 Celestron X-Cel EPs w/ ED Glass Both for $45",196
"1802",2018-04-08,"Explore Scientific 100* Boxes for shipping cost only",337
"1803",2018-04-08,"wanted to buy - meade RG 28mm ortho",88
"1804",2018-04-08,"Meade 1.25"" Series 3000 plossls from 1993-95 era",250
"1805",2018-04-08,"Vintage Swift Eyepiece and Barlow Set",156
"1806",2018-04-08,"TeleVue 3mm-6mm Nagler Zoom",193
"1807",2018-04-08,"Baader Planetarium 10mm Hyperion Modular EP",137
"1808",2018-04-08,"Edmund Scientific 28.7mm RKE",217
"1809",2018-04-08,"Tele Vue 40mm Plossl - Original Caps - JAPAN",156
"1810",2018-04-08,"Televue 41mm Panoptic",206
"1811",2018-04-07,"Televue Delos 8mm Eyepiece",107
"1812",2018-04-07,"Tele Vue 9mm Nagler Circle NJ",227
"1813",2018-04-07,"Tele Vue 7mm Nagler Circle NJ",229
"1814",2018-04-07,"Tele Vue 4.8mm Nagler Type 1 made in Taiwan",240
"1815",2018-04-07,"Quality Televue Eyepieces",1200
"1816",2018-04-07,"TeleVue 2.5x Powermate, lower price",248
"1817",2018-04-06,"WTB: 18mm Volcano top Kellner 1.25",106
"1818",2018-04-06,"Clave’, Zeiss, Brandon Exc REDUCED",410
"1819",2018-04-06,"Meade 25mm HD-60",134
"1820",2018-04-06,"One of a kind custom eyepiece tray",346
"1821",2018-04-06,"ES 82 degree 4.7mm",188
"1822",2018-04-06,"Tele Vue 6mm Delos",136
"1823",2018-04-06,"Excellent Televue Ethos 6mm",116
"1824",2018-04-06,"3-6 Nagler Zoom",126
"1825",2018-04-06,"RKE Eyepieces **SOLD**",217
"1826",2018-04-06,"Pair of LOA 21 3D Deep Immersion Eyepieces",150
"1827",2018-04-06,"36mm Baader Hyperion-Aspheric   INCLUDES SHIPPING",147
"1828",2018-04-06,"Orion Ultrascopic 15mm 1.25"" JAPAN  (reduced)",159
"1829",2018-04-05,"My 32mm SWA 70° for your 38mm SWA/Q70/etc.",174
"1830",2018-04-05,"[Brand new Unused] Delos 17.3mm",148
"1831",2018-04-05,"Pentax XO 2.5mm",153
"1832",2018-04-05,"Televue Nagler Zoom 2 to 4 mm[Mint]",190
"1833",2018-04-05,"Garage Sale---ALL REDUCED :)",1248
"1834",2018-04-05,"Wide Scan type III eyepieces",234
"1835",2018-04-05,"10mm 1.25"" orion ultrascopic",135
"1836",2018-04-05,"Tele Vue Nagler 9mm",194
"1837",2018-04-05,"11mm Televue",166
"1838",2018-04-05,"Ethos 8mm For Sale",139
"1839",2018-04-05,"1.25"" Tele Vue 20mm Plossl - JAPAN",123
"1840",2018-04-05,"TV Paracorr Type 2",99
"1841",2018-04-05,"Pentax 10 XW - Brand New",132
"1842",2018-04-05,"Explore Scientific 82 degree   18mm / Like new 2 months old",509
