"","titles"
"1288","WANTED: 1st Gen TeleVue Nagler 4.8 & 7mm"
"1289","Meade Series II 12.5mm Ortho"
"1290","5.5mm Explore Scientific 100° Argon Purged Eyepiece"
"1291","Parks Gold Series 30mm"
"1292","Televue Nagler 17mm T4 wanted"
"1293","Televue 35mm Panoptic"
"1294","ES Explore Scientific 6.7mm 82° eyepiece"
"1295","Explore Scientific 11mm Series N2 Eyepiece"
"1296","Home Made Eyepieces - Edmund"
"1297","LNIB Luminos 23mm 2"""
"1298","ES68 28mm"
"1299","TeleVue 20 mm Plossl"
"1300","Pentax XW 7"
"1301","BVer pair 18mm Orthoscopics - Now Pending!"
"1302","Pentax XL 40"
"1303","Explore Scientific 68° 24mm 1.25"""
"1304","Tele Vue Radian Eyepieces: 12mm, 18mm"
"1305","Takahashi ABBE 4 MM"
"1306","Televue 8 and 12mm Delos, Pentax XW 10mm Sale"
"1307","Vixen/Orion LWV Superwides"
"1308","Explore Scientific 24mm 2"" 82-degree**LIKE NEW**"
"1309","Eyepiece Lot"
"1310","Televue Ethos 8 mm-Like New"
"1311","Televue Ethos 21mm-Mint Condition"
"1312","ES 14mm 100degree eyepiece"
"1313","Astro Tech 3mm LER"
"1314","Celestron 8-24 Zoom"
"1315","Meade 5000 32mm super ""plossl"""
"1316","Meade 5000 30mm UWA"
"1317","Explore Scientific 62-deg 32mm 2-inch eyepiece!"
"1318","Pair of Meade Kellner EPs"
"1319","Agena 20mm 1.25"" Wide Angle Eyepiece"
"1320","2"" 32mm Meade 5000 EP"
"1321","8mm Orion Stratus 68*"
"1322","Celestron Ultima 7.5mm"
"1323","TV 11mm Plossl"
"1324","8mm Brandon - Oldie!"
"1325","Siebert Perforrmance Series+ 9mm 1.25 inch eyepiece"
"1326","FREE: Box for TeleVue Nagler Type 1 9mm"
"1327","25mm Celestron Kellner pair"
"1328","Orion DeepView 28mm *price drop"
"1329","Tele Vue Eyepieces Like New   41,24,13,and 9mm"
"1330","TeleVue 5mm Delite"
"1331","Agena 20mm Illuminated Reticule eyepiece"
"1332","Brandon VB24EC 1.25"" 24mm Eyepiece with Rubber Eyecup"
"1333","Televue Radian 4mm Eyepiece Free shipping"
"1334","Explore Scientific 68° Series 28mm Eyepiece (2"")"
"1335","Vintage Meade 9.7mm Super Plossl Smoothie JAPAN"
"1336","Celestron Volcano top JAPAN circle ""V"" 7mm Ortho"
"1337","TeleVue 2"" 17mm Nagler T4 beautiful clean with box"
"1338","Celestron Daiichi Kogaku 1.25"" 7mm ortho in box"
"1339","Ultra Rare Unitron 60mm Large Format Eyepiece"
"1340","Explore Scientific 14mm 82 degree. Mint/Complete"
"1341","34mm Seibert observatory Series"
"1342","Brandon 32mm 1.25"" Questar Ocular With Rubber Eyecup"
"1343","Televue Delos 14"
"1344","Pentax XP 8"
"1345","Pentax O-6 with adapter"
"1346","Masuyama 35mm ep"
"1347","University Optics HD Ortho 12mm"
"1348","Unihex eyepiece holder"
"1349","Pentax 5mm XO Eyepiece"
"1350","Tele Vue 22mm Panoptic"
"1351","Pentax 2.5mm XO Eyepiece"
"1352","Trade my TeleVue 15mm Plossl pair for your D14 pair."
"1353","2"" Celestron Complete Eyepiece Set"
"1354","Televue Naglar 12mm Type 4--2"" eyepiece and Barrel Extender"
"1355","3X Afocal Lens for PVS 14,  PVS 7 and Mod 3 ENVIS"
"1356","Tele Vue 21mm Ethos 2”"
"1357","ES 11mm 82 degree fov Eyepiece  $110 shipped!"
"1358","ES 14mm 82 degree fov Eyepiece. $110 shipped!"
"1359","Zeiss Abbe Ortho (ZAO) 10mm"
"1360","Meade 40mm SWA eyepiece"
"1361","13mm Vixen LVW wide angle eyepiece"
"1362","Takahashi HI Ortho .965"" 2.8mm and 4mm"
"1363","Eyepieces - 27mm Televue Panoptic, 9mm Nagler, Ortho, 26mm Halloween"
"1364","Eyepieces for Sale"
"1365","Pentax 10mm XW"
"1366","Televue 14mm Delos"
"1367","Meade series 4000 eyepiece case"
"1368","Surplus Kellner Edmund #50,130"
"1369","Tele Vue 4.8mm Nagler"
"1370","Surplus Erfle Eyepiece - M76 Tank?"
"1371","A pair of Zeiss E-PL 10/25 Eyepieces"
"1372","Televue Nagler 17mm Type 4 Eyepiece, Near Mint"
"1373","Celestron 26mm Circle V Plossl"
"1374","Celestron 5mm X-Cel eyepiece + case"
"1375","Tele Vue 32mm Plossl"
"1376","Tele Vue Eyepeices. Nagler type 6. 13mm & 7mm"
"1377","Surplus Erfle converted to 1.25"""
"1378","Star Guider 7mm & 9mm Set"
"1379","40mm Scopetronix Maxview 44deg FOV eyepiece"
"1380","25mm Sterling Eyepiece"
"1381","Pair of 25mm Televue Plossls Eyepieces"
"1382","Pair of 18mm Takahashi TAK LE Eyepieces"
"1383","Clave 35mm 2"" PENDING Rick"
"1384","*REDUCED* Tele Vue 7mm DeLite, Excellent Condition"
"1385","Meade 25mm eyepiece"
"1386","1.25"" Meade 12mm Illuminated Reticle Astrometric Eyepiece - MINT"
"1387","Pentax XW 7mm"
"1388","3 eyepieces and a barlow"
"1389","Orion DeepView 28mm 2"" Eyepiece"
"1390","** Televue Delos 10mm Wanted ***"
"1391","Meade Super Plossl JAPAN Smoothies"
"1392","Nikon O-5, 7, 9, 12.5"
"1393","1.25"" Celestron 93230 Zoom Eyepiece"
"1394","Televue 8mm Radian"
"1395","Tele vue 55mm Plossl"
"1396","Televue 27 mm Panoptic 2"" eyepiece"
"1397","Tele Vue 9mm Nagler Circle NJ Japan 2"" Eyepiece"
"1398","Celestron 1.25"" volcanos go back in time"
"1399","Nagler 12mm T4 SUPER clean"
"1400","NIKON O-5 AND K-25"
"1401","Meade 1.25"" Plossl Wireless Illuminated Reticle Eyepiece - 9mm"
"1402","Classic Televue Wide Field 24mm"
"1403","Delos 4.5mm"
"1404","Nagler 9mm Japan circle NJ"
"1405","17.3mm Televue Delos"
"1406","7mm Televue Delite"
"1407","Rare Vintag Zeiss H-40 (1960ies?) and Zeiss O-10"
"1408","Classic Meade 8.8mm 8-element UWA Series 4000"
"1409","Meade 8-24mm zoom"
"1410","Vixen LV 9mm Eyepiece JAPAN"
"1411","Gary Russell 2"" 18mm Ultra Wide 80*"
"1412","Tele Vue Ethos 8mm"
"1413","Tele Vue 4.8mm Nagler Japan with Box"
"1414","Meade 20mm RG Erfle and 10mm Orthostar eyepieces"
"1415","RKE 28mm or RKE 21.5MM"
"1416","EDMUND SCIENTIFIC RKE 15mm"
"1417","TELEVUE Nagler Type 6 11mm in great condition"
"1418","TeleVue PANOPTIC 19mm (Like New/Perfect)"
"1419","AP SPL, TMB Supermonocentric, Pentax SMC Ortho in pairs"
"1420","TeleVue Nagler 12mm Type 4 Eyepiece"
"1421","Meade Series 4000 9mm Plossl Wireless Illuminated Reticle Eyepiece"
"1422","[Unused Brand New] Pentax XW 20mm Eyepiece"
"1423","TMB Super Mono 8 mm"
"1424","Meade 4000 Series Japan 8.8 Ultra Wide Angle Smoothie"
"1425","TMB Planetary II 5mm (free ship, no fees)"
"1426","1.25"" 18mm Crosshair Eyepiece"
"1427","9mm DeLite eyepiece in Like New Condition"
"1428","Wanted: Meade rg 16.8"
"1429","Agena ED Starguider ED eyepieces - BRAND NEW, NEVER USED!!!"
"1430","Eyepieces Barlow 2"" 1.25"" Celestron Meade Astrola Silver Top"
"1431","20mm Nagler T2 in perfect condition"
"1432","35mm Orion Stratus 68 Degree Eyepiece"
"1433","Two Eyepieces (One Zoom) and a Barlow"
"1434","Televue 6mm Delos EP (72deg)"
"1435","Eyepiece Garage sale"
"1436","Orion 2"" 40mm Optiluxe EP"
"1437","9mm Nagler"
"1438","Paracorr"
"1439","Very Nice 1.25"" Agena ED 12.5mm EP w/caps,bolt FREE SHIP"
"1440","Explore Scientific 18mm 82 degree FOV"
"1441","Vintage University Optics 12.5 mm Orthoscopic"
"1442","Meade Series 3000 Eyepieces"
"1443","Several Miscellaneous Eyepieces"
"1444","Circle T Japan 12.5 mm Orthoscopic"
"1445","Celestron 25mm Plossl   New"
"1446","Criterion Eyepieces"
"1447","REDUCED:  GALOC 16.3 mm EL-16 1.25"" Eyepiece Very Nice Condition"
"1448","Circle NJ Plossl set"
"1449","Empty 11 Televue Boxes plus one unmarked"
"1450","University Optics eyepieces"
"1451","Celestron Zoom Eyepiece 8-24 mm"
"1452","$100 Wanted Japan Meade Zoom Eyepiece."
"1453","1.25"" University 20mm Super Erfle circle ""T"" JAPAN"
"1454","TeleVue 24mm Panoptic"
"1455","Televue 20mm plossl"
"1456","Orion Expanse Wide Field 15mm"
"1457","Celestron x-cel LX 9mm"
"1458","Celestron 32mm E-Lux"
"1459","Pair of Rare .965"" Volcano Top Eyepieces"
"1460","51MM 2-INCH EYEPIECE"
"1461","Celestron Ultima Duo 21mm"
"1462","Meade 1.25"" Vintage UWA 6.7mm Smooth Top Eyepiece Japan"
"1463","Tele Vue Radian 8.0mm Eyepiece"
"1464","Explore Scientific 8.8mm, 82 degree FOV"
"1465","32mm Orthoscopic Ocular in Excellent Condition"
"1466","Takahashi 1.25"" prism diagonal excellent shape $100 OBO"
"1467","Unitron Eyepieces - .965"" - 6, 7, 9, 12.5"
"1468","Volcano Top 7mm and 25mm Orthoscopic Eyepieces"
"1469","TeleVue 12mm Nagler Type 4 eyepiece"
"1470","Pelican 1550 Case"
"1471","Nikon MC 9-21mm Zoom"
"1472","Morpheus 12.5mm"
"1473","Explore Scientific 68 degree 28mm eyepiece"
"1474","BOX for Celestron Ultima 60mm or 45mm eyepiece"
"1475","Nikon Ortho 7mm O-7 (Reduced)"
"1476","Tele Vue 11mm Plossl Japan"
"1477","11mm Nagler T6"
"1478","6mm Baader Classic Orthoscopic BCO-6 1.25"""
"1479","Pentax XW 30"
"1480","32mm Erfle 1.25"" Parks?"
"1481","Criterion B and L A.S.P. 30 1.25"" eyepiece"
"1482","27mm Panoptic"
"1483","Orion Ultrascopic 35mm, 30mm & 5mm Set"
"1484","Tele Vue 4.8mm Nagler Ex. Cond."
"1485","9mm Unitron .965"" SYM ACH # Reticle Eyepiece"
"1486","Televue Nagler 31 mm"
"1487","Wanted - Meade 6.7mm UWA Series 4000"
"1488","Explore Scientific Eyepiece - 1.25"";   24mm"
"1489","Celestron 7 mm Orthoscopic Eyepiece Pair"
"1490","Celestron 25 mm Orthoscopic Eyepiece"
"1491","Front 80mm binocular lens caps"
"1492","Questar Brandon set"
"1493","Weird Eyepiece Lot - for Collectors"
"1494","Edmunds RKE 28mm"
"1495","TMB Planetary II, 8mm"
"1496","Explore Scientific 14mm 82°"
"1497","Criterion 16.3mm Erfle and Vintage Edmund 1/4"" Eyepieces"
"1498","10mm Masuyama Ocular in Near Mint Condition [REDUCED]"
"1499","Televue Radian 6mm Eyepiece"
"1500","FS: Pentax 10mm XW"
"1501","1.25"" 42mm Achromatic Huygens Eyepiece"
"1502","crosshair eyepiece"
"1503","Wanted---Masuyama 7.5mm or 5mm"
"1504","Vintage A. Jaegers 3/4"" Symmetrical Ocular"
"1505","Orion, Meade, & Celestron Plossl Eyepieces"
"1506","William Optics SWAN 33 mm, 72 degree Eyepieces"
"1507","Explore Scientific 25mm 70 degree 2"" Eyepiece"
"1508","TeleVue Ethos Eyepiece Carry Case - Like New!"
"1509","TeleVue 19mm Panoptics"
"1510","Meade Series 5000 Ultra Wide Angle 6.7mm Eyepiece (1.25"")"
"1511","AstroSystems compression ring eyepiece adapter 2"" to 1.25"""
"1512","Meade Series 5000 Super Wide Angle 16mm Eyepiece (1.25"")"
"1513","Parks 25mm Tall Kellner 1.25"" made in Japan"
"1514","Zhumell Eyepiece and Filter set"
"1515","Televue Nagler 7mm Type 1"
"1516","Celestron Luminos 7mm 82 Degree Eyepiece"
"1517","REDUCED Tele Vue 8mm plossl"
"1518","Orion Expanse 15mm 66 Degree Eyepiece"
"1519","Celestron Axiom LX 82° 7MM 1.25"" barrel eyepiece"
"1520","University Optics Pro series 4mm flat top ."
"1521","Astro-Physics 2.7” focuser"
"1522","Novak 2"" Helical Focuser"
"1523","Televue Nagler Zoom 3 to 6 mm[Free Shipping]"
"1524","[Free Shipping]Televue Nagler type 6 [ 9mm & 11 mm]"
"1525","Meade 12mm illuminated reticle eyepieces (have 2) Japan 07065"
"1526","Siebert Optics .965, 12.5mm eyepiece"
"1527","Pair of ES 20mm 68 degree eyepieces"
"1528","(Price reduced) Explore Scientific 82° 14mm eyepiece"
"1529","Masuyama 32mm 85 degree"
"1530","Explore Scientific 24mm 68 Degree Eeyepiece !!!!!"
"1531","Nikon .965 6-piece Orthoscopic/Kellner Set"
"1532","*LIKE NEW* DayStar Quark Chromosphere H-Alpha Solar Filter + EXTRAS"
"1533","Explore Scientific 62 deg series eyepieces BRAND NEW, NEVER USED!"
"1534","Astro Hutech 18mm Ortho"
"1535","Agena StarGuider 5mm"
"1536","Explore Scientific ES 24 mm 82 degrees argon 2"" Eyepiece *Final Reduction**"
"1537","2 Unused Televue Eyepieces[Delos + Ethos]"
"1538","Tele Vue 11mm T1 Nagler (Circle NJ)"
"1539","Baader 2"" ClickLock Eyepiece Clamp with M42 Female Thread (T-2)"
"1540","Custom Made Eyepiece Tray"
"1541","Zeiss 10mm ortho telescope eyepiece (.965) w/ adapter"
"1542","Explore Scientific 83 degrees 18 mm argon 2"" Eyepiece"
"1543","Tele Vue 2.5x Powermate"
"1544","TV 19mm Panoptic"
"1545","Takahashi 1.25"" eyepieces, c/w end caps and boxes, both in mint condition."
"1546","Televue 40mm Plossl"
"1547","TV Smoothie NJ Plossl Set: Reduced"
"1548","TeleVue 12mm Type 2 Nagler 1.25"" 2"" Made in Japan"
"1549","Televue Ethos 17mm"
"1550","Meade 5.5mm 82-degree UWA Series 5000"
"1551","Celestron 12.5mm Astrometry Eyepiece"
"1552","TeleVue Ethos 3.7mm 110* FOV"
"1553","Explore Scientific 24mm-82 degree eyepiece"
"1554","Dioptrx +1.25"
"1555","Explore Scientific 24mm 68 degree eyepiece NIB shipped"
"1556","17mm Ethos"
"1557","Celestron Luminos 15mm"
"1558","Celestron 1.25"" X-Cel LX Eyepiece - 7mm"
"1559","Price Drop - Celestron Axiom LX 23mm eyepiece 82-deg apparent fov"
"1560","Wanted - RINI eyepieces"
"1561","Televue Nagler 31mm Type 5"
"1562","Offering 200 to 250 USD/Euro for your Radian eyepiece"
"1563","Celestron .965"" Towa and Vixen eyepieces 1970s"
"1564","looking for 12mm Flat Field  EP"
"1565","Like New GENUINE TMB 5mm Planetary II EP w/box FREE SHIP!"
"1566","Vintage 2 Inch University Optics 32mm Erfle"
"1567","Wanted: 14mm TV Radian"
"1568","Clave Eyepieces For Sale"
"1569","Televue Panoptic 41mm"
"1570","TeleVue Eyepiece BLOWOUT 31mm,20mm,Ethos, more"
"1571","Two EPs for sale"
"1572","Televue (mostly) 1.25” mixed eyepiece set"
"1573","A Pair of Televue Zooms [ 2 to 4 & 3 to 6 ] Free Shipping"
"1574","Meade 4000 Series Japan 13.8 Super Wide Angle"
"1575","wanted 4mm Japanese made ortho eyepiece"
"1576","Parks Volcano Top 6mm Plossl"
"1577","ES 24 and 20 68°"
"1578","Clave 6mm $260 Shipped"
"1579","University Optics Konigs, VT abbe orthos, Super Erfles"
"1580","Televue 2” 41 mm Panoptic Eyepiece"
"1581","Televue 2” 20 mm Nagler type 5 Eyepiece"
"1582","William Optics 20mm 100 degrees, like new"
"1583","Celestron 5mm XCel 1.25 inches"
"1584","Televue 6mm Ethos Eyepiece"
"1585","University Optics 20mm Super Erfle 1.25 inches"
"1586","Orion Expanse 4-eyepiece set 1.25mm (REDUCED)"
"1587","Need tuneable parracor"
"1588","Tele Vue Nagler 3.5mm T6"
"1589","Televue 11mm Plossl"
"1590","Nice Smooth Top TeleVue 32mm Wide Field 2"""
"1591","Skyfi Wireless Telescope Controller"
"1592","A Couple of Nice 2 inch Eyepieces- Very Clean, FREE SHIPPING"
"1593","SWA 32mm 70* FOV EYEPIECE"
"1594","Celestron 25-mm, 1.25"" Plossl *Price Reduced*"
"1595","Edmund Scientific 15mm RKE"
"1596","Tele Vue 8mm Delos"
"1597","Celestron Ultima 60 mm Plossl"
"1598","Meade 1.25"" Super Plossl 40mm Eyepiece"
"1599","Televue 10mm Ethos"
"1600","Wanted: Televue Radians 6 + 8 + 10 + 12 + 14 mm"
"1601","Antares Elite 15mm Plossl - JAPAN"
"1602","Parks 1.25"" Gold Series G.S-7 5mm EP In Box"
"1603","Parks 1.25"" 30mm Plossl In Box"
"1604","Explore Scientific 28mm 68° Series Eyepiece"
"1605","wanted celestron 5mm"
"1606","[Reduced] GSO 2"" 42mm SupeView Plossl"
"1607","For Sale Paracorr"
"1608","Meade 20mm Research Grade Erfle wide field"
"1609","Takahashi Eyepiece - Set of 6"
"1610","Edmund RKE Eyepieces for Sale"
"1611","Tele Vue 4mm DeLite"
"1612","Tele Vue 7mm DeLite"
"1613","2"" Meade QX Wide Angle 26mm Eyepiece"
"1614","Looking for a Pentax XW 40"
"1615","looking for a 27mm panoptic"
"1616","Off Axis Guider Body for SCT"
"1617","2 inch Celestron Luminos 23mm 82 Deg AFOV Eyepiece"
"1618","Tele Vue 5mm DeLite"
"1619","Tele Vue 15mm DeLite"
"1620","Tele Vue 12mm Nagler Type 2 In Box W/Caps"
"1621","Masuyama Eps 10 15 20 25 30 35 45 **Pending Sale**"
"1622","27mm Tele Vue Panoptic 2"" EP w/Box & Caps"
"1623","ES 24mm 68-degree **Free Shipping***"
"1624","Celestron Luminos 15mm FS"
"1625","Baader 10mm Classic Ortho eyepiece"
"1626","Explore Scientific ES 14mm 82 deg Eyepiece"
"1627","Explore Scientific ES 20mm 100 deg Eyepiece"
"1628","Pentax XW10 10mm EP w/Caps"
"1629","Pentax XW40 Eyepiece w/Caps"
"1630","Televue Reticle Eyepiece"
"1631","University Optics ""volcano top"" multi-coated, abbe orthos"
"1632","Meade 4.7mm UWA Series 4000 Japan"
"1633","Pair of Zeiss PL 10x/23 1026-548 eyepieces"
"1634","Criterion 16.3mm Erfle"
"1635","Meade Series 5000 18mm UWA 82* Eyepiece"
"1636","Wanted: 15mm Panoptic TeleVue"
"1637","2""Olivon 22mm 70 degree eyepiece"
"1638","2""Olivon 13mm 70 degree eyepiece"
"1639","2"" Olivon 8mm 70 degree Eyepiece"
"1640","Televue 6-3mm Nagler Zoom eyepiece.  Unused"
"1641","ES 30mm, 82-Degree FOV Eyepiece, Free Shipping"
"1642","ES 24mm 82°[Free Shipping]"
"1643","1.25"" Celestron NexStar 17mm Plossl"
"1644","Brand new Unused Pentax XW 5mm"
"1645","Televue Panoptic 24 - User"
"1646","TeleVue Panoptic 15mm"
"1647","19mm Flat Field Eyepiece"
"1648","Agena SWA 32mm/70°, BST 8mm/58°, Celestron 8-24mm zoom"
"1649","Televue Nagler 22mm T4"
"1650","Baader Mark III Click Stop Zoom 8mm-24mm  190.00"
"1651","Edmund 1.25"" Vintage 28mm RKE Eyepiece w/Rubber Eyecup"
"1652","Televue Plossl 7.4mm"
"1653","Televue 17mm Nagler Type 4[Free Shipping]"
"1654","Explore Scientific 2"" 9mm 100 Degree Waterproof Eyepiece"
"1655","Celestron luminos"
"1656","Explore Scientific 82* 18mm"
"1657","Tele Vue 15mm Panoptic Eyepiece"
"1658","Tele Vue 8mm Radian Eyepiece"
"1659","Tele Vue 12mm Radian Eyepiece"
"1660","Tele Vue 27mm Panoptic Eyepiece"
"1661","Tele Vue 40mm Wide Field Eyepiece"
"1662","13mm Nagler Type 1 - Priced to move"
"1663","Agena 15mm SWA x2"
"1664","9mm Orion Edge On Planetary Eyepiece - Reduced"
"1665","Like New Tele Vue 20mm Plossl"
"1666","Tele Vue 6mm Ethos"
"1667","Orion Hilight plossl set of 3 (getting hard to find) Free ship"
"1668","25mm & 15mm Antares Elite Plossls - JAPAN"
"1669","5 mm ortho"
"1670","Celestron Plossl 40mm"
"1671","Celestron 7mm and 18mm ortho Japan"
"1672","Meade UWA Eyepieces  20/14/8.8 mm"
"1673","Carl Zeiss Jena 10mm Ortho w/ 1-1/4"" adapter"
"1674","17.3mm TeleVue Delos eyepieces, two available @ $255 ea."
"1675","Explore Scientific 18mm-82 degree eyepiece"
"1676","ES 82 degree 6.7mm"
"1677","17.3mm & 10mm Delos for sale"
"1678","Orion 7.5mm Ultrascopic - JAPAN"
"1679","Televue 1.25”  14mm Radian Eyepiece"
"1680","Tele Vue DeLite 11mm"
"1681","Celestron 12.5 ortho crosshair EP"
"1682","12.5mm Takahashi Tak Abbe Ortho Free Shipping"
"1683","16mm Nagler T5 Free Shipping"
"1684","Nagler Type 6 Eyepieces..."
"1685","20mm Type 5 Nagler"
"1686","Delos 6mm eyepiece"
"1687","EPs for sale"
"1688","Old Japanese Meade MA's... good outreach eyepieces"
"1689","Explore Scientific 14mm 100 degree"
"1690","Astromania? 3.2mm UWA-58 deg. Eyepiece 1.25"""
"1691","6mm University Optics Ortho Volcano Top Circle-T Japan"
"1692","Nice Carl Zeiss Jena 10mm + 25mm Ortho eyepieces"
"1693","Reduced - Carl Zeiss Jena micrometer eyepiece K15x"
"1694","Tele Vue 20mm Plossl"
"1695","Meade 32mm JAPAN Smoothie"
"1696","Meade 1.25"" Series 4000 Eyepiece & Filter Kit w/ Hard Case"
"1697","Astromania  40mm 1.25 Super Ploessl"
"1698","Pentax XP eyepiece set **Pending Sale**"
"1699","Celestron Axiom LX 82° 23MM 2"" barrel eyepiece PRICE dropped"
"1700","20mm APM XWA/HDC"
"1701","Parks 25mm Kellner *** price lowered***"
"1702","Pair of Waterproof Meade UWA 14's  **NEAF Pick up** $160"
"1703","MEADE Series 5k UWA 24mm  (82° 2"" eyepiece) NEAF Pick up available"
"1704","Unused Televue Delos 14mm"
"1705","BNIB  Pentax XW 7mm"
"1706","Nikon OR and K EPs"
"1707","ES 82- 30mm ""Hand grenade"""
"1708","ES 40mm 68 (will be at NEAF)"
"1709","Baader MK 111 Zoom"
"1710","Explore Scientific 82* 11mm eyepiece"
"1711","Meade Series 4000 6.7mm Ultra Wide Angle UWA Pair"
"1712","Explore Scientific 11mm 82 degree series eyepiece"
"1713","Paradigm 12mm"
"1714","Exceptional Meade Series 4000 6.7mm UWA - JAPAN"
"1715","TeleVue 55mm Plossl"
"1716","Pentax XW's"
"1717","Orion Q70 38mm 2"" wide-field eyepiece"
"1718","4mm Ortho - KK Fujiyama - Japan"
"1719","Orion 7mm Ortho - Japan"
"1720","Nagler T6 7mm, 9mm"
"1721","Televue 7mm Nagler Type 6 Eyepiece"
"1722","Wanted, Meade 5000 40mm SWA"
"1723","Celestron X-cel LX 2.3 mm Eyepiece"
"1724","Three Vintage Circle T Orthos in Superb Condition"
"1725","Wanted: Baader Classic Ortho Q-Turret Set."
"1726","Baader 8-24 Mark III Zoom"
"1727","Tele Vue 20mm & 11mm Plossls - JAPAN"
"1728","Orion 25 MM (smooth style) plossl"
"1729","Meade 5000 ultra wide angle 4.7mm Eyepiece"
"1730","Flat Field eyepieces"
"1731","WANTED: USED TELEUVE PARACORR W/TUNEABLE TOP"
"1732","Televue 20mm Plossl"
"1733","Meade 9mm illuminated reticle eyepiece."
"1734","Orion Barlow 2 inch Japan"
"1735","Televue Radians. 12mm & 18 mm"
"1736","$330 - William optics swan eyepiece set + barlows"
"1737","Meade 6mm Circle T Ortho"
"1738","Orion 32mm Q70 Wide Field Eyepiece"
"1739","Celestron X-Cel Eyepieces 5mm,8mm,10mm,12.5mm,18mm,21mm,26mm"
"1740","Meade 26mmQX, 28mm SWA, Baader Hyperion 24mm, TMB Planetary 6mm,7mm, Orion ER32m"
"1741","26mm Bausch & Lomb Plossl Japan"
"1742","Meade 5000, Celestron Axiom Eyepieces with caps, boxes"
"1743","Zeiss 25mm W-Pl 10x23 eyepiece - matched pair"
"1744","Explore Scientific 8.8mm 82 degree eyepiece"
"1745","Meade UWA 6.7mm smoothie"
"1746","P.M.O. 2x barlow"
"1747","Nikon 10cm .965 Orthoscopic Set - 4/21 NEAF Pickup OK"
"1748","Spring Cleaning!"
"1749","Zeiss E-pl 10x/20 eyepieces"
"1750","2 Celeston EPs, 2 inch 32mm (BNIB), 1.25 9mm Like New"
"1751","Explore Scientific 82* 6.7mm LNIB"
"1752","Clave 5mm, 6mm and Astro-Physics SPL 6mm"
"1753","Meade 4000 56mm 2"" Plossl made in Japan"
"1754","Celestron 2x Ultima SV Barlow, model 93506  Japan"
"1755","TMB Optical 5mm, Orion Illuminated Reticle EPs"
"1756","Very Nice 2 inch Meade 40mm 5 Element Plossl EP w/Box,Caps"
"1757","Vintage Ortho-Star Eyepieces"
"1758","Celestron 32mm E-Lux"
"1759","Televue 24mm Wide Field, Meade 4mm Ortho"
"1760","Clave set of 8 eyepieces"
"1761","2 ""Celestron E-Lux Eyepieces"
"1762","Tele Vue DeLite 7mm"
"1763","Tele Vue 20mm Plossl"
"1764","Tele Vue 8mm Delos"
"1765","BNIB 7mm Delite"
"1766","ES68 24mm"
"1767","GSO 2"" 30mm SuperView Eyepiece"
"1768","2"" UW80 15mm"
"1769","Orion 15mm Ultrascopic 1.25"""
"1770","Meade Series 4000 Super Plossl Set"
"1771","Meade 9 mm Illuminated Reticle Plossl EP FREE SHIP"
"1772","EO HD Ortho 4mm Japan - brand new!"
"1773","20mm Nagler Type 5"
"1774","SmartAstronomy 17mm Sterling Plossl"
"1775","University Optics 1.25"" 24mm Zebra Konig"
"1776","Celestron and Meade eyepieces 1982-1998"
"1777","Set of Five Sears .965 Eyepieces made in Japan"
"1778","Televue Panoptic 19mm Eyepiece -- NEW, NEVER USED"
"1779","Televue Nagler 31mm Type 5 Eyepiece -- Factory Refurbished"
"1780","TeleVue 13mm Ethos"
"1781","Celestron 2in 19mm 82 degree Luminos Eyepiece"
"1782","Brandon 6mm Excellent"
"1783","Carl Zeiss Jena 10mm Ortho Excellent"
"1784","Clave` 6mm excellent"
"1785","Baader Hyperion 21mm"
"1786","Tele Vue 20mm Plossl"
"1787","Meade 40mm Super Plossl"
"1788","Televue 6mm Delos"
"1789","1.25"" Starguider 6mm 66 Degree Eyepiece"
"1790","Antique McKenzie Cheapside London Brass Eyepiece"
"1791","Celestron 40mm Plossl 1.25"" in the box"
"1792","Agena SWA 2"" 38mm 70-degree"
"1793","Antares 1.25"" 2x Barlow with twistlock Includes shipping"
"1794","20mm Sterling / Astro Tech Plossl"
"1795","Arcturus 30mm Plossls x2"
"1796","Various eyepieces and diagonal"
"1797","University Optics Konigs, Ortho eyepieces, box, cases, 3X barlow"
"1798","Televue Delos 3.5mm Eyepiece"
"1799","8MM ED Agena Astro eyepiece"
"1800","Tele Vue 40mm Plossl Eyepiece"
"1801","2 Celestron X-Cel EPs w/ ED Glass Both for $45"
"1802","Explore Scientific 100* Boxes for shipping cost only"
"1803","wanted to buy - meade RG 28mm ortho"
"1804","Meade 1.25"" Series 3000 plossls from 1993-95 era"
"1805","Vintage Swift Eyepiece and Barlow Set"
"1806","TeleVue 3mm-6mm Nagler Zoom"
"1807","Baader Planetarium 10mm Hyperion Modular EP"
"1808","Edmund Scientific 28.7mm RKE"
"1809","Tele Vue 40mm Plossl - Original Caps - JAPAN"
"1810","Televue 41mm Panoptic"
"1811","Televue Delos 8mm Eyepiece"
"1812","Tele Vue 9mm Nagler Circle NJ"
"1813","Tele Vue 7mm Nagler Circle NJ"
"1814","Tele Vue 4.8mm Nagler Type 1 made in Taiwan"
"1815","Quality Televue Eyepieces"
"1816","TeleVue 2.5x Powermate, lower price"
"1817","WTB: 18mm Volcano top Kellner 1.25"
"1818","Clave’, Zeiss, Brandon Exc REDUCED"
"1819","Meade 25mm HD-60"
"1820","One of a kind custom eyepiece tray"
"1821","ES 82 degree 4.7mm"
"1822","Tele Vue 6mm Delos"
"1823","Excellent Televue Ethos 6mm"
